# Creating system...
# System created with N=1000 particles

# Initial state:
# Susceptibles: 999, Infected: 1

# Starting simulation...
# Relz	Step	Time	sigma	R0
469	1	0.0100	1
470	2	0.0200	1
471	1	0.0100	1
472	3	0.0300	1
473	7	0.0700	1
474	19	0.1900	3
475	6	0.0600	1
476	5	0.0500	1
477	26	0.2600	1
478	22	0.2200	2
479	13	0.1300	2
480	26	0.2600	2
481	6	0.0600	1
482	1	0.0100	1
483	8	0.0800	1
484	1	0.0100	1
485	3	0.0300	1
486	5	0.0500	1
487	18	0.1800	2
488	11	0.1100	1
489	14	0.1400	2
490	25	0.2500	3
491	20	0.2000	2
492	4	0.0400	1
493	16	0.1600	2
494	18	0.1800	3
495	6	0.0600	1
496	6	0.0600	2
497	2	0.0200	2
498	6	0.0600	1
499	1	0.0100	1
500	11	0.1100	4
501	8	0.0800	2
502	12	0.1200	1
503	13	0.1300	3
504	3	0.0300	1
505	2	0.0200	1
506	1	0.0100	1
507	6	0.0600	1
508	31	0.3100	2
509	1	0.0100	1
510	8	0.0800	2
511	2	0.0200	1
512	4	0.0400	1
513	15	0.1500	1
514	15	0.1500	2
515	19	0.1900	2
516	20	0.2000	2
517	3	0.0300	1
518	18	0.1800	1
519	7	0.0700	1
520	4	0.0400	1
521	8	0.0800	1
522	2	0.0200	1
523	1	0.0100	1
524	10	0.1000	1
525	1	0.0100	1
526	7	0.0700	1
527	5	0.0500	1
528	8	0.0800	1
529	2	0.0200	1
530	8	0.0800	2
531	9	0.0900	1
532	1	0.0100	1
533	19	0.1900	1
534	6	0.0600	2
535	19	0.1900	2
536	34	0.3400	3
537	7	0.0700	3
538	4	0.0400	1
539	6	0.0600	1
540	1	0.0100	1
541	34	0.3400	2
542	17	0.1700	3
543	40	0.4000	1
544	10	0.1000	2
545	2	0.0200	1
546	7	0.0700	1
547	19	0.1900	1
548	5	0.0500	2
549	15	0.1500	1
550	4	0.0400	1
551	16	0.1600	4
552	19	0.1900	1
553	8	0.0800	3
554	14	0.1400	2
555	9	0.0900	1
556	45	0.4500	3
557	4	0.0400	2
558	5	0.0500	1
559	5	0.0500	1
560	13	0.1300	1
561	15	0.1500	1
562	10	0.1000	1
563	5	0.0500	2
564	13	0.1300	2
565	7	0.0700	3
566	4	0.0400	1
567	1	0.0100	2
568	18	0.1800	1
569	46	0.4600	2
570	5	0.0500	1
571	4	0.0400	1
572	5	0.0500	2
573	18	0.1800	4
574	5	0.0500	2
575	2	0.0200	1
576	4	0.0400	1
577	6	0.0600	1
578	5	0.0500	1
579	1	0.0100	1
580	14	0.1400	1
581	7	0.0700	1
582	13	0.1300	2
583	12	0.1200	2
584	5	0.0500	1
585	14	0.1400	2
586	5	0.0500	1
587	4	0.0400	1
588	15	0.1500	3
589	4	0.0400	1
590	5	0.0500	1
591	10	0.1000	1
592	15	0.1500	1
593	3	0.0300	2
594	3	0.0300	2
595	5	0.0500	1
596	10	0.1000	2
597	8	0.0800	1
598	12	0.1200	1
599	27	0.2700	1
600	6	0.0600	1
601	1	0.0100	1
602	8	0.0800	1
603	32	0.3200	3
604	7	0.0700	1
605	4	0.0400	1
606	3	0.0300	1
607	14	0.1400	2
608	4	0.0400	1
609	21	0.2100	2
610	4	0.0400	1
611	10	0.1000	2
612	1	0.0100	1
613	10	0.1000	1
614	3	0.0300	1
615	12	0.1200	1
616	23	0.2300	1
617	8	0.0800	1
618	3	0.0300	1
619	5	0.0500	1
620	5	0.0500	1
621	7	0.0700	1
622	6	0.0600	2
623	53	0.5300	4
624	6	0.0600	1
625	21	0.2100	1
626	2	0.0200	1
627	5	0.0500	1
628	16	0.1600	3
629	2	0.0200	1
630	11	0.1100	1
631	2	0.0200	1
632	1	0.0100	1
633	10	0.1000	2
634	5	0.0500	1
635	8	0.0800	2
636	2	0.0200	1
637	17	0.1700	1
638	3	0.0300	1
639	10	0.1000	1
640	24	0.2400	4
641	11	0.1100	2
642	2	0.0200	2
643	10	0.1000	2
644	6	0.0600	1
645	14	0.1400	1
646	18	0.1800	2
647	6	0.0600	1
648	4	0.0400	1
649	2	0.0200	1
650	10	0.1000	2
651	4	0.0400	1
652	13	0.1300	4
653	6	0.0600	1
654	16	0.1600	2
655	7	0.0700	1
656	16	0.1600	1
657	3	0.0300	1
658	1	0.0100	1
659	4	0.0400	1
660	17	0.1700	4
661	7	0.0700	1
662	2	0.0200	1
663	6	0.0600	1
664	1	0.0100	1
665	1	0.0100	2
666	6	0.0600	1
667	5	0.0500	1
668	31	0.3100	1
669	4	0.0400	1
670	4	0.0400	1
671	9	0.0900	2
672	20	0.2000	1
673	4	0.0400	2
674	20	0.2000	3
675	10	0.1000	1
676	7	0.0700	1
677	4	0.0400	1
678	21	0.2100	2
679	2	0.0200	1
680	9	0.0900	2
681	26	0.2600	3
682	8	0.0800	1
683	2	0.0200	1
684	7	0.0700	1
685	8	0.0800	2
686	9	0.0900	2
687	18	0.1800	2
688	12	0.1200	1
689	9	0.0900	1
690	37	0.3700	2
691	37	0.3700	1
692	8	0.0800	1
693	12	0.1200	2
694	2	0.0200	1
695	24	0.2400	2
696	16	0.1600	2
697	39	0.3900	1
698	62	0.6200	3
699	1	0.0100	1
700	5	0.0500	1
701	1	0.0100	1
702	10	0.1000	1
703	4	0.0400	1
704	1	0.0100	1
705	11	0.1100	3
706	8	0.0800	1
707	7	0.0700	1
708	46	0.4600	1
709	6	0.0600	1
710	4	0.0400	1
711	5	0.0500	1
712	26	0.2600	2
713	37	0.3700	2
714	26	0.2600	2
715	2	0.0200	1
716	9	0.0900	3
717	34	0.3400	3
718	2	0.0200	1
719	2	0.0200	1
720	34	0.3400	2
721	6	0.0600	2
722	34	0.3400	3
723	16	0.1600	2
724	13	0.1300	1
725	18	0.1800	1
726	11	0.1100	2
727	17	0.1700	2
728	2	0.0200	1
729	1	0.0100	1
730	1	0.0100	1
731	5	0.0500	1
732	3	0.0300	2
733	29	0.2900	2
734	1	0.0100	1
735	9	0.0900	1
736	4	0.0400	1
737	13	0.1300	2
738	9	0.0900	2
739	10	0.1000	1
740	12	0.1200	2
741	9	0.0900	1
742	4	0.0400	2
743	6	0.0600	1
744	12	0.1200	1
745	13	0.1300	1
746	16	0.1600	3
747	26	0.2600	1
748	9	0.0900	1
749	5	0.0500	1
750	13	0.1300	2
751	15	0.1500	1
752	12	0.1200	2
753	13	0.1300	1
754	48	0.4800	1
755	40	0.4000	4
756	2	0.0200	1
757	15	0.1500	2
758	15	0.1500	1
759	8	0.0800	1
760	2	0.0200	1
761	4	0.0400	1
762	1	0.0100	1
763	6	0.0600	1
764	7	0.0700	2
765	5	0.0500	1
766	20	0.2000	2
767	18	0.1800	2
768	25	0.2500	2
769	1	0.0100	1
770	1	0.0100	1
771	23	0.2300	2
772	24	0.2400	2
773	3	0.0300	1
774	1	0.0100	1
775	8	0.0800	1
776	13	0.1300	2
777	23	0.2300	1
778	3	0.0300	1
779	4	0.0400	1
780	22	0.2200	1
781	9	0.0900	1
782	10	0.1000	1
783	1	0.0100	2
784	3	0.0300	1
785	1	0.0100	1
786	2	0.0200	1
787	22	0.2200	1
788	9	0.0900	1
789	10	0.1000	1
790	28	0.2800	2
791	1	0.0100	1
792	4	0.0400	1
793	2	0.0200	1
794	8	0.0800	2
795	17	0.1700	3
796	4	0.0400	1
797	4	0.0400	1
798	21	0.2100	2
799	4	0.0400	1
800	5	0.0500	3
801	11	0.1100	1
802	9	0.0900	1
803	32	0.3200	2
804	15	0.1500	2
805	8	0.0800	2
806	25	0.2500	1
807	3	0.0300	1
808	3	0.0300	1
809	2	0.0200	1
810	19	0.1900	2
811	11	0.1100	2
812	7	0.0700	2
813	9	0.0900	3
814	3	0.0300	1
815	7	0.0700	3
816	8	0.0800	2
817	2	0.0200	1
818	1	0.0100	1
819	4	0.0400	1
820	14	0.1400	1
821	11	0.1100	1
822	2	0.0200	1
823	19	0.1900	2
824	7	0.0700	1
825	7	0.0700	2
826	4	0.0400	1
827	4	0.0400	2
828	4	0.0400	1
829	24	0.2400	5
830	16	0.1600	2
831	2	0.0200	1
832	14	0.1400	1
833	2	0.0200	1
834	12	0.1200	2
835	52	0.5200	2
836	27	0.2700	2
837	2	0.0200	1
838	10	0.1000	1
839	9	0.0900	1
840	1	0.0100	1
841	3	0.0300	1
842	15	0.1500	1
843	3	0.0300	1
844	13	0.1300	1
845	4	0.0400	2
846	1	0.0100	1
847	17	0.1700	1
848	23	0.2300	1
849	17	0.1700	2
850	3	0.0300	1
851	10	0.1000	1
852	10	0.1000	1
853	1	0.0100	1
854	12	0.1200	1
855	1	0.0100	1
856	24	0.2400	1
857	14	0.1400	3
858	6	0.0600	1
859	6	0.0600	2
860	15	0.1500	2
861	7	0.0700	1
862	1	0.0100	1
863	1	0.0100	1
864	8	0.0800	1
865	14	0.1400	1
866	12	0.1200	1
867	9	0.0900	1
868	2	0.0200	1
869	18	0.1800	2
870	1	0.0100	1
871	1	0.0100	1
872	4	0.0400	1
873	9	0.0900	1
874	1	0.0100	1
875	15	0.1500	2
876	19	0.1900	1
877	13	0.1300	3
878	2	0.0200	1
879	2	0.0200	1
880	37	0.3700	1
881	9	0.0900	2
882	3	0.0300	1
883	5	0.0500	1
884	39	0.3900	2
885	34	0.3400	3
886	9	0.0900	1
887	2	0.0200	1
888	5	0.0500	1
889	9	0.0900	2
890	8	0.0800	1
891	23	0.2300	1
892	33	0.3300	1
893	2	0.0200	1
894	18	0.1800	3
895	2	0.0200	1
896	1	0.0100	1
897	13	0.1300	1
898	2	0.0200	1
899	3	0.0300	1
900	3	0.0300	2
901	8	0.0800	1
902	7	0.0700	1
903	17	0.1700	1
904	25	0.2500	2
905	11	0.1100	1
906	8	0.0800	2
907	8	0.0800	1
908	16	0.1600	2
909	3	0.0300	1
910	16	0.1600	2
911	9	0.0900	1
912	8	0.0800	1
913	12	0.1200	1
914	18	0.1800	1
915	1	0.0100	1
916	1	0.0100	1
917	24	0.2400	1
918	7	0.0700	1
919	16	0.1600	2
920	16	0.1600	1
921	10	0.1000	1
922	25	0.2500	2
923	20	0.2000	1
924	11	0.1100	1
925	12	0.1200	1
926	1	0.0100	1
927	4	0.0400	1
928	21	0.2100	1
929	1	0.0100	1
930	18	0.1800	2
931	1	0.0100	1
932	2	0.0200	2
933	10	0.1000	1
934	12	0.1200	1
935	12	0.1200	2
936	18	0.1800	1
937	3	0.0300	1
938	1	0.0100	2
939	2	0.0200	1
940	1	0.0100	1
941	5	0.0500	1
942	13	0.1300	1
943	14	0.1400	3
944	47	0.4700	4
945	10	0.1000	2
946	20	0.2000	2
947	37	0.3700	4
948	10	0.1000	2
949	36	0.3600	2
950	22	0.2200	2
951	40	0.4000	3
952	1	0.0100	1
953	29	0.2900	2
954	13	0.1300	2
955	2	0.0200	1
956	1	0.0100	1
957	11	0.1100	2
958	8	0.0800	2
959	2	0.0200	1
960	6	0.0600	1
961	11	0.1100	2
962	11	0.1100	2
963	5	0.0500	1
