# Step	Time	mean_S	stderr_S	mean_I	stderr_I
19800	198.0000	397.080000	42.672153	602.920000	42.672153
19900	199.0000	399.680000	42.491123	600.320000	42.491123
20000	200.0000	396.420000	42.726087	603.580000	42.726087
20100	201.0000	399.340000	42.528829	600.660000	42.528829
20200	202.0000	393.020000	42.971707	606.980000	42.971707
20300	203.0000	399.820000	42.474187	600.180000	42.474187
20400	204.0000	397.280000	42.654726	602.720000	42.654726
20500	205.0000	398.200000	42.596159	601.800000	42.596159
20600	206.0000	402.200000	42.314149	597.800000	42.314149
20700	207.0000	399.280000	42.529576	600.720000	42.529576
20800	208.0000	396.240000	42.733243	603.760000	42.733243
20900	209.0000	399.320000	42.524538	600.680000	42.524538
21000	210.0000	398.960000	42.538707	601.040000	42.538707
21100	211.0000	402.060000	42.330815	597.940000	42.330815
21200	212.0000	402.500000	42.293586	597.500000	42.293586
21300	213.0000	398.640000	42.573915	601.360000	42.573915
21400	214.0000	397.740000	42.638619	602.260000	42.638619
21500	215.0000	403.060000	42.258201	596.940000	42.258201
21600	216.0000	401.580000	42.368895	598.420000	42.368895
21700	217.0000	403.340000	42.242525	596.660000	42.242525
21800	218.0000	402.320000	42.315146	597.680000	42.315146
21900	219.0000	397.920000	42.611143	602.080000	42.611143
22000	220.0000	402.520000	42.295761	597.480000	42.295761
22100	221.0000	394.560000	42.862106	605.440000	42.862106
22200	222.0000	399.820000	42.469355	600.180000	42.469355
22300	223.0000	399.960000	42.487344	600.040000	42.487344
22400	224.0000	400.360000	42.448376	599.640000	42.448376
22500	225.0000	396.560000	42.705692	603.440000	42.705692
22600	226.0000	400.140000	42.445551	599.860000	42.445551
22700	227.0000	401.100000	42.397370	598.900000	42.397370
22800	228.0000	400.160000	42.464031	599.840000	42.464031
22900	229.0000	398.740000	42.558532	601.260000	42.558532
23000	230.0000	397.620000	42.662310	602.380000	42.662310
23100	231.0000	401.900000	42.341509	598.100000	42.341509
23200	232.0000	400.120000	42.462451	599.880000	42.462451
23300	233.0000	398.220000	42.608612	601.780000	42.608612
23400	234.0000	397.640000	42.663022	602.360000	42.663022
23500	235.0000	395.620000	42.771307	604.380000	42.771307
23600	236.0000	399.820000	42.477455	600.180000	42.477455
23700	237.0000	399.500000	42.503395	600.500000	42.503395
23800	238.0000	400.860000	42.409301	599.140000	42.409301
23900	239.0000	401.060000	42.408692	598.940000	42.408692
24000	240.0000	400.480000	42.435440	599.520000	42.435440
24100	241.0000	404.720000	42.127493	595.280000	42.127493
24200	242.0000	400.060000	42.464351	599.940000	42.464351
24300	243.0000	397.580000	42.635301	602.420000	42.635301
24400	244.0000	395.300000	42.807198	604.700000	42.807198
24500	245.0000	399.040000	42.574884	600.960000	42.574884
24600	246.0000	397.420000	42.654567	602.580000	42.654567
24700	247.0000	397.560000	42.627673	602.440000	42.627673
24800	248.0000	397.240000	42.679658	602.760000	42.679658
24900	249.0000	399.220000	42.521470	600.780000	42.521470
25000	250.0000	398.560000	42.577019	601.440000	42.577019
25100	251.0000	396.400000	42.740585	603.600000	42.740585
25200	252.0000	401.040000	42.395688	598.960000	42.395688
